ID,Category
1467810369,  Awww thats a bummer  You shoulda got David Carr of Third Day to do it D
1467810672,is upset that he cant update his Facebook by texting it and might cry as a result  School today also Blah
1467810917,I dived many times for the ball Managed to save   The rest go out of bounds
1467811184,my whole body feels itchy and like its on fire 
1467811193,no its not behaving at all im mad why am i here because I cant see you all over there 
1467811372,Hollis death scene will hurt me severely to watch on film  wry is directors cut not out now
1467811592,our duck and chicken are taking wayyy too long to hatch 
1467811594,hey  long time no see Yes Rains a bit only a bit  LOL  Im fine thanks  hows you 
1467811795,nope they didnt have it 
1467812025,our duck and chicken are taking wayyy too long to hatch 
1467812416,our duck and chicken are taking wayyy too long to hatch 
1467812579,I couldnt bear to watch it  And I thought the UA loss was embarrassing     
1467812723,I couldnt bear to watch it  And I thought the UA loss was embarrassing     
1467812771,It it counts idk why I did either you never talk to me anymore 
1467812784,i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown
1467812799,I wish I got to watch it with you I miss you and  how was the premiere
1467812964,Hollis death scene will hurt me severely to watch on film  wry is directors cut not out now
1467813137,our duck and chicken are taking wayyy too long to hatch 
1467813579,ahh ive always wanted to see rent  love the soundtrack
1467813782,our duck and chicken are taking wayyy too long to hatch 
1467813985,i was out most of the day so didnt get much done 
1467813992,one of my friend called me and asked to meet with her at Mid Valley todaybut ive no time sigh 
1467814119,I couldnt bear to watch it  And I thought the UA loss was embarrassing     
1467814180,this week is not going as i had hoped 
1467814192,blagh class at  tomorrow 
1467814438,I hate when I have to call and wake people up 
1467814783,Just going to cry myself to sleep after watching Marley and Me  
1467814883,im sad now  MissLilly
1467815199,ooooh LOL  that leslie and ok I wont do it again so leslie wont  get mad again 
1467815753,sorry bed time came here GMT   
1467815923,Hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
1467815924,I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
1467815988,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon 
1467816149,awe i love you too  am here  i miss you
1467816665,I cry my asian eyes to sleep at night 
1467816749,ok Im sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ BED now 
1467817225,ill tell ya the story later  not a good day and ill be workin for like three more hours
1467817374,sorry bed time came here GMT   
1467817502,I dont either Its depressing I dont think I even want to know about the kids in suitcases 
1467818007,Bed Class  Work  Gym  or  Then class  Another day thats gonna fly by I miss my girlfriend 
1467818020,really dont feel like getting up today but got to study to for tomorrows practical exam 
1467818481,Hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
1467818603,Sad sad sad I dont know why but I hate this feeling  I wanna sleep and I still cant
1467818900,Awww I soo wish I was there to see you finally comfortable Im sad that I missed it 
1467819022,Falling asleep Just heard about that Tracy girls body being found How sad  My heart breaks for that family
1467819650,Yay Im happy for you with your job But that also means less time for me and you 
1467819712,Just checked my user timeline on my blackberry it looks like the twanking is still happening  Are ppl still having probs w BGs and UIDs
1467819812,our duck and chicken are taking wayyy too long to hatch 
1467820206,is strangely sad about LiLo and SamRo breaking up 
1467820835,oh im so sorry  i didnt think about that before retweeting
1467820863,our duck and chicken are taking wayyy too long to hatch 
